idx,result,time_s,max_depth,avg_depth,mincheck_calls,mincheck_time_s,added_clauses
1563,UNSAT,127.432351,297,132.120148,22898,3.8496,17557
1564,UNSAT,120.974416,268,131.245535,21737,3.8063,16822
1565,UNSAT,272.318977,290,127.049217,46635,9.2306,29105
1566,UNSAT,983.828512,309,129.144691,138182,29.1870,97985
1567,UNSAT,686.239050,271,128.388640,101483,20.2346,63570
1568,TIMEOUT,,,,,,
1569,TIMEOUT,,,,,,
156,UNSAT,,,,,,
1570,TIMEOUT,,,,,,
1571,TIMEOUT,,,,,,
1572,TIMEOUT,,,,,,
1573,UNSAT,924.773265,250,115.193959,114290,25.4143,55163
1574,UNSAT,2402.095589,288,113.878294,233100,51.2082,98684
1575,UNSAT,2173.074751,266,116.919618,228614,51.1026,135542
1576,UNSAT,263.907230,249,118.952321,39087,7.9124,18993
1577,UNSAT,852.040959,254,117.633371,113908,23.1287,56718
1578,UNSAT,759.726046,277,117.392188,93395,19.3098,53893
1579,UNSAT,1773.069896,255,116.316292,207975,46.0218,101162
157,UNSAT,,,,,,
1580,TIMEOUT,,,,,,
1581,TIMEOUT,,,,,,
1582,TIMEOUT,,,,,,
1583,UNSAT,3050.886283,277,116.383413,250271,56.7671,148402
1584,TIMEOUT,,,,,,
1585,TIMEOUT,,,,,,
1586,TIMEOUT,,,,,,
1587,TIMEOUT,,,,,,
1588,TIMEOUT,,,,,,
1589,TIMEOUT,,,,,,
158,UNSAT,,,,,,
1590,TIMEOUT,,,,,,
1591,UNSAT,523.024676,293,126.329609,86166,17.5700,53283
1592,TIMEOUT,,,,,,
1593,TIMEOUT,,,,,,
1594,TIMEOUT,,,,,,
1595,UNSAT,1.740400,90,46.000000,3,0.0005,3
1596,UNSAT,55.883140,265,133.339074,9675,1.5724,7938
1597,UNSAT,162.111569,269,131.329141,27802,5.2183,21632
1598,UNSAT,931.218642,271,129.397419,134538,28.1912,107644
1599,TIMEOUT,,,,,,
159,UNSAT,,,,,,
15,UNSAT,,,,,,
1600,UNSAT,3297.225186,283,128.285317,327524,71.3836,220703
1601,UNSAT,653.064535,257,119.239861,82883,18.1018,48061
1602,TIMEOUT,,,,,,
1603,UNSAT,1.625282,90,46.000000,3,0.0004,3
1604,TIMEOUT,,,,,,
1605,TIMEOUT,,,,,,
1606,TIMEOUT,,,,,,
1607,TIMEOUT,,,,,,
1608,TIMEOUT,,,,,,
1609,UNSAT,119.078320,272,131.572349,25325,4.1705,19872
160,UNSAT,,,,,,
1610,UNSAT,125.521945,265,127.995876,22098,3.9974,14772
1611,UNSAT,105.539885,287,136.372896,21115,3.3325,14477
1612,UNSAT,66.620368,302,133.392128,12981,1.9997,10305
1613,UNSAT,270.829208,280,128.040974,52004,9.3493,37061
1614,UNSAT,105.358433,313,139.054171,16605,2.9425,9681
1615,UNSAT,38.914517,327,141.550379,5051,0.8729,3966
1616,UNSAT,190.391947,275,129.779193,32523,6.1176,21461
1617,TIMEOUT,,,,,,
1618,TIMEOUT,,,,,,
1619,UNSAT,1.837905,90,46.000000,3,0.0003,3
161,UNSAT,,,,,,
1620,UNSAT,656.486996,297,115.644936,74745,17.0523,34214
