graph_idx,is_complement,base_idx,tau,best_mask_hex,degree_new_vertex,time_s
105,false,53,18,15718b80bf,19,1.8
106,true,53,18,3ea8e747f40,23,1.8
107,false,54,18,ae31b80bf,19,1.9
108,true,54,18,3f51ce47f20,23,1.9
109,false,55,12,af19680bf,19,1.9
110,true,55,12,3f50e697f40,23,1.9
111,false,56,23,2dc61680bf,19,1.7
112,true,56,23,3d239e97f40,23,1.7
113,false,57,12,5e33680df,19,1.9
114,true,57,12,3fa1cc97f40,23,1.9
115,false,58,23,1b8c3680bf,19,1.7
116,true,58,23,3e473c97f40,23,1.7
117,false,59,21,14ed0b40bf,19,1.8
118,true,59,21,3eb12f4bf40,23,1.8
119,false,60,21,9da1b40bf,19,1.8
120,true,60,21,3f625e4bf40,23,1.8
121,false,61,20,66bc49c0f,18,1.7
122,true,61,20,3f9943b63f0,24,1.7
123,false,62,33,9eb4eb00f,19,1.7
124,true,62,33,3f614b44ff0,23,1.7
125,false,63,17,6768b40bf,19,1.9
126,true,63,17,3f98974bf40,23,1.9
127,false,64,17,4ed1b40bf,19,1.9
128,true,64,17,3fb12e4bf40,23,1.9
129,false,65,10,55b4b80bf,19,2.0
130,true,65,10,3faa4b47f40,23,2.0
131,false,66,10,2b69b80ff,20,1.9
132,true,66,10,3fd49647f40,23,1.9
133,false,67,21,5a65ba43d,19,1.9
134,true,67,21,3fa59a45bc8,23,1.9
135,false,68,13,2d35ba437,19,2.0
136,true,68,13,3fd2ca45bc8,23,2.0
137,false,69,25,d346ba0b7,19,1.7
138,true,69,25,3f2cb945f44,23,1.7
139,false,70,14,4cd5ba0b7,19,1.9
140,true,70,14,3fb32a45f48,23,1.9
141,false,71,22,152a6ba13b,19,1.8
142,true,71,22,3ead5945ec8,23,1.8
143,false,72,27,54a8cba13b,19,1.6
144,true,72,27,3ab57345ec8,23,1.6
145,false,73,16,152acba13f,20,1.9
146,true,73,16,3ead5345ec4,23,1.8
147,false,74,10,12b52b40f7,19,2.0
148,true,74,10,3ed4ad4bf80,23,2.0
149,false,75,9,4daab407f,19,2.0
150,true,75,9,3fb2554bf80,23,2.1
151,false,76,9,2ad5b407f,19,2.1
152,true,76,9,3fd52a4bf80,23,2.1
153,false,77,10,96a9b407f,19,2.0
154,true,77,10,3f69564bf80,23,2.0
155,false,78,49,3ccf8ea383,21,1.5
156,true,78,49,3c330b2acbc,21,1.6
157,false,79,47,3333cf4343,20,1.5
158,true,79,47,3cccc305cfc,22,1.5
